City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
187,Esperance,-33.8667,121.9,55.24,overcast clouds,83,89,18.14,AU
188,Te Anau,-45.4167,167.7167,33.62,few clouds,82,20,0.96,NZ
189,Mozarlandia,-14.7447,-50.5706,97.47,overcast clouds,24,100,6.13,BR
190,Tornio,65.8481,24.1466,44.62,scattered clouds,86,41,10.8,FI
191,Port Augusta,-32.5,137.7667,64.54,overcast clouds,25,100,4.41,AU
192,Watertown,42.3709,-71.1828,77.27,overcast clouds,61,100,5.99,US
193,Gat,31.61,34.7642,76.82,broken clouds,62,68,7.65,IL
194,Xinmin,41.9908,122.8253,64.11,overcast clouds,96,100,5.77,CN
195,Dolores,-36.3132,-57.6792,48.0,overcast clouds,92,100,11.52,AR
196,Thompson,55.7435,-97.8558,55.56,overcast clouds,82,90,2.3,CA
197,Saint-Francois,46.4154,3.9054,62.47,clear sky,78,0,6.91,FR
198,Sao Joao Da Barra,-21.6403,-41.0511,80.69,overcast clouds,78,100,17.29,BR
199,Mayo,38.8876,-76.5119,82.74,clear sky,47,9,5.01,US
200,Busselton,-33.65,115.3333,51.08,scattered clouds,92,45,8.75,AU
201,Komsomolskiy,40.4272,71.7189,63.32,clear sky,51,0,6.91,UZ
202,Balkhash,46.844,74.9804,55.44,broken clouds,62,66,8.25,KZ
203,Newport,51.5877,-2.9984,57.85,light rain,87,2,15.73,GB
204,Sisimiut,66.9395,-53.6735,33.17,clear sky,45,0,6.76,GL
205,Prince Rupert,54.3161,-130.3201,53.69,light rain,76,90,13.8,CA
206,Anadyr,64.75,177.4833,36.1,scattered clouds,80,40,8.01,RU
207,Viedma,-40.8135,-62.9967,66.56,clear sky,15,5,9.78,AR
208,Koslan,63.4564,48.8989,37.33,few clouds,92,16,1.5,RU
209,Taltal,-25.4,-70.4833,64.9,scattered clouds,65,25,3.18,CL
210,Mehran,33.1222,46.1646,80.08,clear sky,12,0,9.01,IR
211,Klaksvik,62.2266,-6.589,47.32,overcast clouds,89,100,13.42,FO
212,Caravelas,-17.7125,-39.2481,77.25,light rain,72,100,9.55,BR
213,Kargasok,59.0556,80.8572,34.3,few clouds,90,21,6.08,RU
214,Jiuquan,39.7432,98.5174,61.97,clear sky,19,0,3.38,CN
