City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Baykit,RU,35.37,overcast clouds,61.67,96.37,
541,Mombetsu,JP,54.09,overcast clouds,44.3525,143.3525,
544,Vila Do Maio,CV,92.19,clear sky,15.1333,-23.2167,
547,Saryozek,KZ,52.3,clear sky,44.3583,77.9753,
551,Bunbury,AU,50.81,broken clouds,-33.3333,115.6333,
554,Dossor,KZ,57.87,overcast clouds,47.5272,52.9811,
555,North Platte,US,92.32,clear sky,41.1239,-100.7654,
556,Jurbarkas,LT,47.34,clear sky,55.0778,22.7664,
559,Oudtshoorn,ZA,52.16,overcast clouds,-33.5907,22.2014,
560,Candido De Abreu,BR,92.68,clear sky,-24.5669,-51.3333,
566,Comodoro Rivadavia,AR,58.86,few clouds,-45.8667,-67.5,
569,Barinas,VE,92.52,overcast clouds,8.6226,-70.2075,
572,Flinders,AU,55.18,clear sky,-34.5833,150.8552,
574,Lakes Entrance,AU,38.16,clear sky,-37.8811,147.981,
576,Waipawa,NZ,47.03,light rain,-41.4122,175.5153,
578,Dunedin,NZ,40.8,few clouds,-45.8742,170.5036,
579,Nortelandia,BR,90.61,overcast clouds,-14.4547,-56.8028,
581,Kurilsk,RU,53.38,overcast clouds,45.2333,147.8833,
590,Bonfim,BR,94.95,overcast clouds,3.0833,-59.95,
595,Praia,CV,91.94,few clouds,14.9215,-23.5087,
596,Marienburg,PL,56.88,scattered clouds,54.0359,19.0266,
601,Portland,US,59.36,mist,45.5234,-122.6762,
610,Tupik,RU,32.41,overcast clouds,54.4253,119.9327,
613,Shalinskoye,RU,34.23,overcast clouds,55.7228,93.7594,
617,Slonim,BY,45.28,clear sky,53.0867,25.3219,
618,Zholymbet,KZ,36.21,overcast clouds,51.7433,71.7122,
620,Segezha,RU,45.99,broken clouds,63.7415,34.3222,
625,Srednekolymsk,RU,24.57,overcast clouds,67.45,153.6833,
628,La Tuque,CA,59.25,broken clouds,47.4334,-72.7824,
630,Mazagao,BR,95.05,clear sky,-0.115,-51.2894,
634,Brae,GB,50.11,overcast clouds,60.3964,-1.353,
636,Darlington,GB,55.11,clear sky,54.5243,-1.5504,
638,Vilyuysk,RU,30.31,few clouds,63.7553,121.6247,
639,Brownsville,US,94.01,scattered clouds,25.9018,-97.4975,
640,Sovetskiy,RU,32.5,clear sky,61.3614,63.5842,
648,Okato,NZ,45.43,overcast clouds,-39.2,173.8833,
649,Trinidad,BO,94.98,smoke,-14.8333,-64.9,
654,Hinton,CA,55.44,clear sky,53.4001,-117.5857,
657,Stykkisholmur,IS,36.21,overcast clouds,65.0757,-22.7297,
658,Bulgan,MN,32.72,overcast clouds,48.8125,103.5347,
663,Lieksa,FI,46.78,scattered clouds,63.3167,30.0167,
664,Pryazha,RU,43.83,clear sky,61.6926,33.6216,
667,Novosokolniki,RU,45.64,broken clouds,56.3463,30.1578,
673,Boguchany,RU,33.84,light rain,58.3814,97.4531,
674,Oriximina,BR,91.54,broken clouds,-1.7656,-55.8661,
675,Anzhero-Sudzhensk,RU,28.06,overcast clouds,56.081,86.0285,
